Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
11,9,10,2020,billymambrasar,MELATIH ANGGOTA DAN PENGURUS HIMPUNAN MAHASISWA ISLAM CABANG PONTIANAK  Dalam rangkaian Kunjungan Ke Kalimantan selain dari berfokus kepada penugasan untuk membantu tugas kenegaraan adalah memastikan untuk beraudiensi dengan Temanteman dari berbagai organisasi kepemudaan   Ini merupakan tugas penting saya agar saya dapat memastikan bahwa saya mendengar semua masukan aspirasi dan keinginan para pemuda Indonesia ini   Acara yang diselenggarakan ini adalah dalam rangka memberika Pelatihan Kepemimpinan kepada pengurus dan anggota baru HMI  Sebelumnya saya juga mengunjungi dan disambut baik sekali oleh HMI Cabang Sumatera Barat Padang dan kotakota lainnya   Saya doakan agar HMI dapat menjadi organisasi yang dapat mewadahi dan menampung aspirasi seluruh Pemuda dan Pemudi Islam di Kota Pontianak HMI juga dapat menjadi komunikator dan bridging antar program kerja Pemerintah dan Masyarakat   Masa depan Indonesia kedepannya bergantung kepada kekuatan dan kualitas Pemuda dan Pemudi yang akan menjadi demografis penduduk mayoritas negeri ini Ini adalah kunci dari apakah Indonesia nanti akan menjadi negara maju atau tidak   Saya doakan yang terbaik utk seluruh anggota dan pengurus baru HMI baik di Pontianak maupun di kotakota lain di Seluruh Indonesia,https://www.instagram.com/p/CGG_gKCBp4v,528,9
20,5,10,2020,billymambrasar,Yayasan Kitong Bisa bersama Kementerian BUMN di dukung oleh PT Freeport Indonesia Pertamina BRI BNI dan Pegadaian berkolaborasi dengan Forum Human Capital Indonesia Yayasan Green Numa Nusantara Kementerian Pendidikan Wahana Visi Indonesia dan tuan rumah Universitas Advent Indonesia mempersembahkan WEBINAR BUMN seri  4 dengan Tema Solusi Efektif Pendidikan Nasional Era Pandemi COVID19 dengan Pembicara Utama  1 Bpk Nadiem Makarim Menteri Pendidikan RI 2 Bpk Ganjar Pranowo Gubernur Jawa Tengah  Dan Pembicara Ahli   1 Bpk Billy Mambrasar Staf Khusus Presiden 2 Ibu Hetifah Sjaifudian Wakil Ketua Komisi X DPR RI 3 Ibu Lita Karubaba Senior Officer Dana Kemitraan PT Freeport Indonesia 4 Bpk Doseba T Sinay CEO  Direktur Nasional Wahana Visi Indonesia  Moderator Gracia Paramitha Dosen LSPR Jakarta  CoFounder Indonesian Youth Diplomacy  Hari  Selasa 06 Oktober 2020 Pukul 1300 WIB  1500 WIB Live Via  Zoom Webinar  Streaming via Youtube Kementerian BUMN RI   Universitas Advent Indonesia  Acara ini TERBUKA untuk Umum dengan via zoom Registrasi melalui link  httpsbitlywebinarBUMN4 dan dapatkan FREE ECertificate bagi seluruh peserta  FREE Doorprize bagi peserta yang beruntung Maximum peserta Zoom 1000 orang  Informasi lebih lanjut dapat menghubungi email  webinarunaiedu  tlp  081398771966 Henokh Supusepa  WA OnlyNo Call Di jam kerja  Senin sd Jumat 08001700  IndonesiaBergerakMajuBUMN IndonesiaBergerakMajuPertamina IndonesiaBergerakMajuBRI IndonesiaBergerakMajuBNI IndonesiaBergerakMajuPegadaian IndonesiaBergerakMajuTelkom,https://www.instagram.com/p/CF9s9V8B8OU,526,65
19,2,10,2020,billymambrasar,Di Entrepreneurship talk di Salah Satu Coffee Shop dengan Milenial Kota Palangkaraya,https://www.instagram.com/p/CF10USbAHTg,239,5
9,2,10,2020,billymambrasar,Palangkaraya Provinsi Kalimantan Tengah  Luar Biasa terharu dengan semangat adik2 Pesantren Mereka bukan hanya mengaji akan tetapi juga menjalankan kewirausahaan sosial yaitu sambil beternak Ikan Hal ini Patut dicontoh dan cerita baik ini begitu menyentuh hati saya karena sebagian dari mereka adalah anak2 kurang Mampu Saya sudah mencatat dan mengingat apa yg merupakan komitmen kami untuk mereka dan saya akan Follow Up segera,https://www.instagram.com/p/CF0xvfJAR4D,396,58
21,30,9,2020,billymambrasar,Mas Fairid Naparin Walikota Palangkaraya,https://www.instagram.com/p/CFw2hDegttT,191,6
16,30,9,2020,billymambrasar,,https://www.instagram.com/p/CFwWRDQgaKQ,351,19
6,30,9,2020,billymambrasar,Salah satu peran penting yang harus dimainkan oleh kita para senior yang telah sukses adalah memastikan kita menjadi mentor yang baik Proses mentoring harus terus berjalan agar kita dapat meregenerasi pemimpinpemimpin masa depan bangsa kita  Untuk mewujudkan peran tersebut maka saya secara aktif berkeliling Indonesia untuk mementor adikadik saya  Bersama dengan Pak Dirjen Akmal kaka budi_a mas Kus dan tim kami menyemangati mereka  Lihatlah tatapan mata mereka semangat mereka binar cahaya semangat penuh harap menyongsong masa depan  Mereka terpisah jauh ratusan kilometer adanya melewati ribuan pulau utk ada di tempat ini demi mewujudkan cita pendidikannya  Pesan saya untuk adik2ku di Universitas Andalas Padang Sumatera Barat  maju terus pantang mundur Kitong Bisa,https://www.instagram.com/p/CFvRUTQhd7W,1009,30
19,29,9,2020,billymambrasar,Repost budi_a ijin kaka adik copy status yah kaka andalan inspirasiku        Hari2 Kunjungan Bersama Tim Dirjen OTDA Kemendagri dan Tim Staf Khusus Presiden RI dgn Gubernur Sumatera Barat membicarakan mengenai Best Practise Penanganan Covid19 oleh Pemprov Sumbar yg mendapatkan apresiasi Presiden RI sekaligus menitipkan adik2 mahasiswa Papua yg berkuliah di Univ Andalas Univ Negeri Padang Politeknik Negeri Padang dan  Politeknik Pertanian Negeri Payakumbuh  Pertamatama saya SALUT Sama Profesor Irwan Prayitno karena beliau memiliki 10 Anak dan sukses semua dalam pendidikannya Beliau sendiri adalah seorang Profesor dalam bidang Psikologi Salut dan Inspiratif pak Saya ingin menjadi seperti ini kedepannya   Dalam pertemuan itu gubernur Irwan Prayitno menerangkan bahwa Pemerintah Sumbar telah melakukan upaya dalam menekan angka penularan Covid19 yang masih tinggi di wilayah Sumbar Terus lakukan penerapan disiplin protokol kesehatan normal baru berdasarkan epidemiologi peningkatan kesadaran masyarakat  Kuncinya ada empat dari segi pemerintah yaitu bagaimana kemampuan kita mengendalikannya testing pengujian tracking pelacakan isolasi serta treatment pengobatan Bila empat hal ini sungguhsungguh dan konsisten dilakukan secara masif InsyaAllah bisa mengurangi penyebaran Covid19 di Sumbar jelas Irwan Prayitno  Langkahnya ini gubernur arahkan pada satu tujuan yaitu memutus penularan memutus rantai penyebaran Apalagi sampai saat ini obat atau vaksinya antivirus belum ada  Sampai ada antivirusnya Covid19 ini akan tetap ada Jadi selama belum ada obat dan antivirus Covid19 kita mengendalikannya agar tetap landai dan terkontrol katanya  Bila empat hal ini sungguhsungguh dan konsisten menurutnya kalaupun ada tambahan dengan sistem seperti itu akan bisa dikendalikan  Pemerintah sudah sering edukasi masyarakat untuk terus ikuti protokol kesehatan namun masih ada saja yang tidak pakai masker Untuk itu pemerintah akan memberikan saksi bagi masyarakat yang tidak ikuti aturan protokol kesehatan terang Irwan Prayitno,https://www.instagram.com/p/CFuIFx4hwLj,1011,18
10,29,9,2020,billymambrasar,Hey Guys ini dia Pertayaan untuk dijawab sebagai Challenge Giveaway Tahap 3   Pertanyaanya APAKAH 5 TARGET UTAMA KAK BILLY SEBAGAI DUTA SDGs Indonesia 20192021   Bagi Pemenang yang terpilih sebanyak 20 orang akan mendapatkan Kuota Data untuk keperluan studi Daring masingmasing sebanyak 2 GB   Caranya mudah   1 Follow Instagram billymambrasar   2 Ikuti webinarwebinar yang sudah dan akan berlangsung  3 Tulis dan jawab di kolom komentar atas pertanyaanya dibawah ini yah   INGAT Give away ini hanya berlaku untuk followers Kak Billy aja yaaah ,https://www.instagram.com/p/CFtJAG1hFaT,685,63
6,27,9,2020,billymambrasar,Kalau Bayar sendiri saya tdk Punya uang makanya saya mengendorse Cottage milik Sahabat Saya Pak Akmal Karena  PUJI TUHAN bisa numpang tinggal Gratis    Mengapa saya tdk menggunakan masker karena ini rumah yg terisolasi dari luar dan minim interaksi dgn org luar Semua tim kerja bareng2 saya jumlahnya sangat terbatas dan semua sudah diswab dan hasilnya negatif  Selamat berakhir Pekan yaaah teman2 Jaga dan ikuti protokol kesehatan selalu Jaga diri agar sehat selalu,https://www.instagram.com/p/CFnnf1YgDIb,380,31
